                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1185,                0.58938,                 1.2812,                0.90498,                0.91042,                0.94561,                0.64547,                  1.185,                0.61952,                 1.3249,               0.067459,             0.00016352,             0.00016352
                      2,                 1.0926,                  0.577,                  1.263,                0.91335,                0.90013,                0.94635,                0.65058,                 1.1707,                0.61299,                 1.3148,               0.034292,             0.00033006,             0.00033006
                      3,                 1.0838,                0.57294,                 1.2603,                0.89976,                0.91371,                 0.9475,                 0.6513,                 1.1691,                0.60971,                 1.3108,               0.001125,              0.0004961,              0.0004961
                      4,                 1.0842,                0.56646,                 1.2569,                0.89808,                0.91559,                0.94749,                0.64831,                 1.1657,                0.60665,                 1.3074,             0.00049828,             0.00049828,             0.00049828
                      5,                 1.0746,                0.55876,                 1.2457,                0.90647,                0.90893,                0.94776,                0.64791,                 1.1661,                0.60544,                 1.3029,             0.00049828,             0.00049828,             0.00049828
                      6,                 1.0811,                0.56028,                 1.2503,                0.90419,                0.91019,                 0.9483,                0.64932,                 1.1636,                 0.6035,                 1.3014,             0.00049695,             0.00049695,             0.00049695
                      7,                 1.0816,                0.56015,                 1.2531,                0.90372,                0.91364,                0.94884,                0.64913,                 1.1661,                0.60076,                 1.3034,             0.00049524,             0.00049524,             0.00049524
                      8,                 1.0797,                0.55082,                 1.2476,                0.90595,                0.91221,                0.94908,                0.64848,                 1.1651,                0.59896,                 1.3012,             0.00049316,             0.00049316,             0.00049316
                      9,                 1.0768,                0.54694,                 1.2506,                0.90868,                0.90918,                0.94917,                0.64886,                 1.1679,                0.60037,                 1.3018,             0.00049071,             0.00049071,             0.00049071
                     10,                 1.0712,                0.54769,                 1.2404,                0.90535,                 0.9143,                0.94925,                0.65044,                 1.1653,                0.59464,                 1.3027,             0.00048789,             0.00048789,             0.00048789
                     11,                 1.0807,                0.55197,                 1.2478,                0.90355,                 0.9155,                0.94884,                0.64979,                 1.1647,                 0.5938,                 1.3023,              0.0004847,              0.0004847,              0.0004847
                     12,                 1.0724,                0.54513,                  1.245,                0.90759,                0.90744,                0.94842,                 0.6494,                 1.1688,                0.59565,                 1.3028,             0.00048116,             0.00048116,             0.00048116
                     13,                  1.069,                0.54285,                 1.2429,                 0.9042,                 0.9146,                0.94877,                0.65169,                 1.1695,                0.59146,                  1.304,             0.00047727,             0.00047727,             0.00047727
                     14,                 1.0743,                0.54198,                 1.2448,                0.90494,                0.91528,                0.95012,                0.65134,                 1.1635,                 0.5908,                 1.3025,             0.00047302,             0.00047302,             0.00047302
                     15,                 1.0682,                0.53761,                 1.2401,                0.90686,                0.91311,                0.94886,                0.65246,                 1.1601,                0.58897,                 1.2988,             0.00046844,             0.00046844,             0.00046844
                     16,                 1.0653,                0.53651,                 1.2397,                0.90787,                0.91221,                 0.9499,                0.65223,                 1.1602,                0.58804,                 1.3011,             0.00046353,             0.00046353,             0.00046353
                     17,                 1.0653,                0.53632,                 1.2403,                 0.9049,                0.91483,                0.94949,                0.65196,                 1.1635,                0.58683,                 1.3019,             0.00045829,             0.00045829,             0.00045829
                     18,                 1.0628,                0.53789,                 1.2383,                0.90719,                0.91251,                0.94917,                0.65244,                 1.1636,                0.58788,                 1.2998,             0.00045273,             0.00045273,             0.00045273
                     19,                 1.0646,                0.53565,                 1.2429,                0.90536,                0.91281,                0.94952,                0.65271,                 1.1614,                0.58603,                 1.3012,             0.00044687,             0.00044687,             0.00044687
                     20,                 1.0736,                0.53893,                 1.2417,                0.90558,                 0.9158,                0.94905,                0.65269,                 1.1608,                0.58463,                 1.2997,              0.0004407,              0.0004407,              0.0004407
                     21,                 1.0716,                0.54023,                 1.2471,                0.90702,                0.91341,                0.94905,                0.65234,                 1.1631,                0.58464,                    1.3,             0.00043424,             0.00043424,             0.00043424
                     22,                 1.0754,                0.53639,                 1.2415,                0.90646,                 0.9152,                0.94921,                0.65223,                 1.1603,                0.58507,                 1.2977,             0.00042751,             0.00042751,             0.00042751
                     23,                 1.0737,                0.53871,                 1.2483,                0.90685,                0.91639,                0.94989,                0.65336,                 1.1639,                0.58327,                 1.2998,              0.0004205,              0.0004205,              0.0004205
                     24,                 1.0669,                0.53673,                 1.2399,                0.90774,                 0.9158,                0.94893,                0.65077,                 1.1668,                0.58442,                 1.2996,             0.00041324,             0.00041324,             0.00041324
                     25,                 1.0661,                0.53048,                 1.2358,                0.90731,                0.91699,                0.94848,                0.65192,                 1.1617,                0.58292,                 1.2973,             0.00040573,             0.00040573,             0.00040573
                     26,                 1.0719,                0.53684,                 1.2427,                0.90288,                0.91885,                0.94902,                 0.6538,                 1.1575,                0.58212,                 1.2977,             0.00039798,             0.00039798,             0.00039798
                     27,                 1.0768,                0.53168,                 1.2426,                0.90229,                0.91823,                0.94797,                0.65314,                 1.1619,                0.58267,                 1.2986,                0.00039,                0.00039,                0.00039
                     28,                 1.0699,                0.53147,                 1.2412,                0.90414,                 0.9143,                0.94782,                0.65251,                 1.1656,                0.58451,                 1.2984,             0.00038182,             0.00038182,             0.00038182
                     29,                 1.0772,                0.53326,                 1.2438,                 0.9018,                0.91669,                0.94794,                0.65174,                 1.1676,                0.58064,                 1.3004,             0.00037343,             0.00037343,             0.00037343
                     30,                  1.069,                0.53098,                 1.2372,                 0.9043,                0.91698,                0.94816,                0.65161,                 1.1648,                  0.581,                 1.2997,             0.00036486,             0.00036486,             0.00036486
                     31,                 1.0709,                0.53463,                 1.2386,                0.90516,                0.91483,                0.94815,                0.65209,                 1.1614,                0.58067,                 1.2975,             0.00035612,             0.00035612,             0.00035612
                     32,                 1.0761,                 0.5358,                 1.2491,                0.90612,                 0.9146,                0.94891,                0.65282,                 1.1619,                0.58055,                 1.2994,             0.00034721,             0.00034721,             0.00034721
                     33,                 1.0661,                0.53494,                 1.2427,                0.90647,                0.91452,                 0.9489,                  0.653,                 1.1629,                0.58065,                    1.3,             0.00033816,             0.00033816,             0.00033816
                     34,                 1.0689,                0.53176,                 1.2414,                0.90393,                 0.9159,                0.94813,                0.65287,                 1.1621,                0.58006,                 1.2979,             0.00032898,             0.00032898,             0.00032898
                     35,                 1.0724,                0.53251,                 1.2424,                0.90735,                0.91233,                 0.9485,                0.65302,                 1.1602,                0.57793,                  1.298,             0.00031968,             0.00031968,             0.00031968
                     36,                 1.0674,                0.52905,                 1.2419,                0.90274,                0.91729,                0.94816,                0.65302,                 1.1637,                0.57928,                 1.2996,             0.00031028,             0.00031028,             0.00031028
                     37,                 1.0674,                0.52802,                 1.2348,                0.90425,                 0.9149,                0.94775,                0.65138,                 1.1657,                0.58031,                  1.299,             0.00030078,             0.00030078,             0.00030078
                     38,                 1.0675,                0.52786,                 1.2353,                0.90382,                0.91729,                0.94858,                 0.6522,                 1.1667,                 0.5797,                 1.2983,             0.00029122,             0.00029122,             0.00029122
                     39,                 1.0722,                0.52738,                 1.2377,                0.90163,                0.91639,                0.94738,                 0.6514,                 1.1657,                0.57827,                    1.3,             0.00028159,             0.00028159,             0.00028159
                     40,                 1.0665,                0.52861,                 1.2314,                0.90451,                0.91102,                0.94697,                0.65283,                 1.1625,                0.57777,                 1.2974,             0.00027192,             0.00027192,             0.00027192
                     41,                 1.0602,                0.52392,                 1.2343,                0.90405,                 0.9144,                0.94785,                0.65279,                 1.1608,                0.57831,                 1.2949,             0.00026222,             0.00026222,             0.00026222
                     42,                 1.0667,                0.52529,                 1.2326,                0.90438,                 0.9158,                0.94845,                0.65485,                 1.1586,                0.57686,                 1.2968,              0.0002525,              0.0002525,              0.0002525
                     43,                 1.0674,                0.52418,                 1.2338,                0.90267,                 0.9152,                0.94746,                0.65327,                 1.1602,                0.57581,                  1.297,             0.00024278,             0.00024278,             0.00024278
                     44,                 1.0671,                0.52538,                 1.2352,                0.90404,                0.91639,                0.94806,                0.65289,                 1.1631,                0.57708,                 1.2968,             0.00023308,             0.00023308,             0.00023308
                     45,                 1.0706,                 0.5229,                 1.2336,                0.90346,                0.91659,                0.94806,                0.65253,                 1.1649,                0.57609,                 1.2993,             0.00022341,             0.00022341,             0.00022341
                     46,                 1.0709,                0.52233,                 1.2377,                0.90316,                0.91615,                0.94724,                0.65361,                 1.1648,                0.57578,                 1.2983,             0.00021378,             0.00021378,             0.00021378
                     47,                 1.0645,                0.52269,                 1.2374,                0.90609,                 0.9158,                0.94805,                0.65293,                  1.163,                0.57646,                 1.2963,             0.00020422,             0.00020422,             0.00020422
                     48,                 1.0678,                0.52691,                 1.2388,                0.90548,                0.91281,                0.94859,                0.65298,                  1.162,                0.57512,                 1.2973,             0.00019472,             0.00019472,             0.00019472
                     49,                 1.0625,                0.51974,                 1.2339,                0.90211,                0.91912,                0.94815,                0.65328,                 1.1607,                0.57344,                 1.2971,             0.00018532,             0.00018532,             0.00018532
                     50,                 1.0604,                0.52033,                  1.234,                0.90463,                0.91483,                0.94752,                0.65263,                 1.1632,                0.57573,                  1.297,             0.00017602,             0.00017602,             0.00017602
                     51,                 1.0677,                0.52378,                 1.2387,                0.90868,                0.91219,                0.94902,                 0.6525,                 1.1617,                0.57489,                 1.2975,             0.00016684,             0.00016684,             0.00016684
                     52,                  1.071,                0.52391,                 1.2359,                0.90649,                0.91341,                 0.9475,                0.65301,                 1.1614,                0.57361,                 1.2964,             0.00015779,             0.00015779,             0.00015779
                     53,                 1.0695,                0.52488,                 1.2394,                0.90505,                 0.9146,                0.94776,                0.65301,                 1.1605,                 0.5743,                 1.2951,             0.00014888,             0.00014888,             0.00014888
                     54,                 1.0668,                0.52524,                 1.2417,                0.90571,                0.91206,                0.94775,                0.65291,                 1.1615,                 0.5766,                 1.2943,             0.00014014,             0.00014014,             0.00014014
                     55,                 1.0667,                0.52528,                 1.2308,                0.90569,                 0.9119,                0.94763,                0.65372,                 1.1598,                0.57437,                 1.2954,             0.00013157,             0.00013157,             0.00013157
                     56,                 1.0537,                0.52018,                 1.2294,                0.90768,                0.91012,                0.94769,                0.65375,                 1.1608,                0.57465,                 1.2959,             0.00012318,             0.00012318,             0.00012318
                     57,                 1.0609,                0.52079,                 1.2287,                0.90714,                0.91191,                0.94832,                0.65369,                 1.1594,                0.57477,                 1.2949,               0.000115,               0.000115,               0.000115
                     58,                 1.0718,                0.52476,                 1.2399,                0.90551,                0.91284,                0.94839,                 0.6535,                 1.1586,                 0.5732,                 1.2953,             0.00010702,             0.00010702,             0.00010702
                     59,                  1.064,                0.52195,                 1.2316,                0.90261,                 0.9132,                0.94783,                0.65395,                 1.1586,                0.57298,                 1.2953,             9.9274e-05,             9.9274e-05,             9.9274e-05
                     60,                 1.0632,                0.52087,                 1.2378,                0.90251,                0.91818,                0.94883,                 0.6545,                 1.1568,                0.57332,                 1.2934,             9.1762e-05,             9.1762e-05,             9.1762e-05
                     61,                 1.0625,                0.52173,                 1.2373,                 0.9055,                0.91555,                0.94894,                0.65358,                 1.1579,                 0.5726,                 1.2951,             8.4497e-05,             8.4497e-05,             8.4497e-05
                     62,                 1.0665,                0.52014,                 1.2349,                0.90282,                0.91341,                0.94782,                  0.654,                 1.1584,                0.57205,                 1.2948,             7.7491e-05,             7.7491e-05,             7.7491e-05
