                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5757,                 1.4803,                 1.4784,                0.23833,                0.63153,                0.19799,                0.11974,                 1.4764,                    inf,                 1.4704,             0.00039245,             0.00039245,             0.00039245
                      2,                 1.4813,                0.92515,                 1.4021,                0.72937,                0.78859,                0.71044,                0.40805,                 1.4648,                    inf,                 1.5079,             0.00079243,             0.00079243,             0.00079243
                      3,                 1.4706,                0.95502,                 1.4103,                 0.2346,                0.54822,                0.17383,                 0.0945,                 1.6723,                    inf,                 1.6106,              0.0011923,              0.0011923,              0.0011923
                      4,                 1.5148,                0.91097,                 1.4171,                 0.2968,                0.67543,                0.25187,                0.14334,                 1.5989,                    inf,                 1.9007,              0.0015921,              0.0015921,              0.0015921
                      5,                 1.5657,                 1.0519,                 1.4922,                0.26634,                0.62675,                0.21712,                0.11966,                    nan,                    nan,                    nan,              0.0019916,              0.0019916,              0.0019916
                      6,                 1.4708,                 0.9634,                  1.433,                0.85537,                0.84943,                0.90072,                 0.5155,                 1.4893,                 0.9293,                 1.5078,              0.0019986,              0.0019986,              0.0019986
                      7,                 1.4762,                0.93627,                  1.442,                0.84364,                0.83939,                 0.8868,                0.51023,                 1.4222,                  1.162,                 1.5074,              0.0019986,              0.0019986,              0.0019986
                      8,                 1.4869,                0.86098,                 1.4374,                0.77028,                0.85667,                0.80659,                 0.4869,                 1.2973,                 0.9515,                 1.3999,               0.001998,               0.001998,               0.001998
                      9,                 1.3949,                0.87998,                 1.3789,                0.88344,                0.85549,                0.92093,                 0.5555,                 1.3779,                0.77396,                 1.4178,              0.0019973,              0.0019973,              0.0019973
                     10,                 1.4159,                 0.7973,                 1.3617,                0.88924,                 0.8719,                0.92502,                0.58118,                 1.3098,                0.72472,                 1.3933,              0.0019965,              0.0019965,              0.0019965
                     11,                 1.4034,                0.79025,                 1.3639,                0.87576,                0.88743,                0.92761,                0.58111,                  1.329,                0.68286,                 1.3874,              0.0019956,              0.0019956,              0.0019956
                     12,                  1.458,                0.82552,                 1.4053,                 0.8664,                 0.8734,                0.91434,                0.54107,                 1.4493,                0.75173,                 1.4345,              0.0019946,              0.0019946,              0.0019946
                     13,                 1.4313,                0.83982,                 1.3574,                0.90352,                0.88361,                  0.938,                0.57996,                 1.3036,                0.73571,                  1.385,              0.0019934,              0.0019934,              0.0019934
                     14,                 1.3948,                0.79229,                 1.3499,                0.90503,                0.89351,                0.94375,                0.57667,                 1.3501,                0.70954,                 1.4204,              0.0019922,              0.0019922,              0.0019922
                     15,                  1.447,                0.77793,                 1.4086,                0.90132,                0.89451,                0.94031,                 0.5514,                 1.4875,                0.70938,                 1.4625,              0.0019908,              0.0019908,              0.0019908
                     16,                  1.422,                0.80642,                 1.3759,                0.90474,                0.89896,                0.94527,                 0.5882,                 1.3132,                0.67487,                 1.3807,              0.0019894,              0.0019894,              0.0019894
                     17,                 1.4056,                0.80436,                 1.3914,                0.83134,                0.85249,                0.88936,                0.52866,                 1.3815,                0.83777,                 1.4458,              0.0019878,              0.0019878,              0.0019878
                     18,                 1.4269,                0.82386,                 1.3958,                0.89491,                0.89501,                0.93954,                0.57281,                 1.3488,                0.69216,                  1.388,              0.0019861,              0.0019861,              0.0019861
                     19,                 1.3968,                0.78648,                 1.3544,                0.90574,                 0.8934,                0.94318,                0.58597,                 1.3117,                0.64901,                 1.3726,              0.0019844,              0.0019844,              0.0019844
