                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5228,                 4.6397,                  1.592,                0.10477,                0.16704,                0.05132,                0.03387,                 1.4638,                    inf,                 1.6683,               0.067688,             0.00039245,             0.00039245
                      2,                 1.4872,                 3.4336,                 1.5345,                0.18209,                0.22675,                0.13483,                0.08018,                 1.4508,                    inf,                 1.5623,               0.034755,             0.00079243,             0.00079243
                      3,                 1.4266,                 3.0423,                 1.5129,                 0.1835,                0.20905,                0.12402,                0.07048,                 1.4818,                    inf,                 1.5879,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.4537,                 2.7229,                   1.52,                0.28993,                0.26752,                0.21993,                0.14265,                  1.295,                    inf,                 1.4632,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.3869,                 2.4997,                 1.4646,                0.35587,                0.33957,                0.31142,                0.20646,                 1.2123,                 3.0229,                 1.3853,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.3001,                 2.2067,                 1.4244,                0.35905,                0.36671,                0.35846,                0.23516,                 1.2517,                 2.3072,                 1.4003,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.3127,                 2.0787,                 1.4331,                0.36885,                0.39932,                0.39043,                0.25735,                 1.2831,                 1.8821,                 1.4434,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.3163,                 1.8309,                 1.4388,                0.45878,                0.44395,                0.45979,                0.30811,                 1.2514,                 1.7071,                 1.4189,              0.0011988,              0.0011988,              0.0011988
                      9,                   1.29,                 1.6731,                 1.4164,                0.44459,                0.46894,                0.48871,                0.32687,                 1.2588,                 1.6051,                 1.4034,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.2681,                 1.5729,                 1.3989,                0.44695,                0.51011,                0.51153,                0.34783,                 1.2348,                 1.5187,                 1.3858,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.2468,                 1.4517,                 1.3926,                0.43781,                0.56933,                0.53727,                0.35979,                 1.2619,                 1.5003,                 1.3916,              0.0011974,              0.0011974,              0.0011974
                     12,                  1.221,                 1.3471,                  1.373,                0.50799,                0.56603,                0.56969,                0.38523,                 1.1957,                 1.3891,                 1.3721,              0.0011967,              0.0011967,              0.0011967
                     13,                 1.2121,                 1.2799,                 1.3615,                  0.544,                0.58568,                 0.5991,                0.40788,                 1.2042,                 1.3318,                 1.3604,              0.0011961,              0.0011961,              0.0011961
