                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3915,                 4.2103,                 1.4222,                0.22178,                0.20252,                0.10151,                0.06564,                  1.328,                    inf,                 1.4117,               0.067688,             0.00039245,             0.00039245
                      2,                 1.3287,                  2.882,                  1.384,                0.30026,                0.31449,                0.23505,                0.15762,                 1.2135,                    inf,                 1.3273,               0.034755,             0.00079243,             0.00079243
                      3,                 1.2873,                 2.4398,                 1.3729,                0.35787,                0.34964,                0.33519,                0.21765,                 1.2272,                 3.9486,                 1.3708,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.3248,                 2.1781,                 1.3799,                0.39747,                   0.46,                0.42388,                0.26642,                 1.3145,                 2.2691,                 1.4076,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.2596,                 1.9128,                 1.3549,                0.49028,                 0.4612,                0.47183,                0.30885,                 1.2198,                 1.9285,                 1.3394,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.2762,                 1.7711,                 1.3582,                0.47084,                0.48525,                0.50689,                0.33665,                 1.1998,                 1.7681,                  1.355,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.2649,                 1.6805,                 1.3749,                0.46462,                0.57089,                0.55199,                0.37154,                 1.2287,                 1.5737,                  1.369,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.2269,                 1.4791,                 1.3367,                0.56686,                0.58235,                0.59735,                0.40849,                 1.1737,                  1.354,                   1.32,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.2072,                 1.3783,                 1.3231,                0.59038,                0.60205,                0.61461,                0.42086,                 1.1963,                 1.3016,                 1.3433,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.1889,                 1.3454,                 1.3232,                0.56259,                0.61615,                0.62473,                 0.4253,                 1.1857,                 1.2871,                 1.3306,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.1812,                  1.245,                 1.3105,                0.56638,                0.61984,                0.63687,                0.43844,                 1.1713,                 1.2557,                 1.3266,              0.0011974,              0.0011974,              0.0011974
                     12,                 1.1559,                 1.1779,                  1.296,                0.59103,                0.65291,                0.66518,                0.44756,                 1.2127,                 1.1925,                 1.3418,              0.0011967,              0.0011967,              0.0011967
                     13,                 1.1417,                 1.1172,                 1.2836,                0.60701,                0.65112,                0.67229,                0.44983,                 1.2451,                 1.1781,                 1.3617,              0.0011961,              0.0011961,              0.0011961
                     14,                 1.1561,                 1.0794,                 1.2872,                0.59703,                0.68412,                0.68808,                0.47044,                 1.1616,                 1.1432,                 1.3182,              0.0011953,              0.0011953,              0.0011953
                     15,                 1.1137,                 1.0024,                 1.2658,                0.65141,                0.66126,                 0.6784,                 0.4557,                 1.2346,                 1.1297,                 1.3435,              0.0011945,              0.0011945,              0.0011945
                     16,                 1.1211,                 1.0445,                 1.2671,                0.69078,                0.62792,                0.68827,                0.47264,                 1.1535,                 1.0958,                 1.3093,              0.0011936,              0.0011936,              0.0011936
                     17,                 1.1032,                 0.9948,                 1.2536,                0.66277,                0.65991,                0.68067,                0.46662,                 1.1678,                 1.1024,                 1.3253,              0.0011927,              0.0011927,              0.0011927
                     18,                 1.0757,                0.94511,                 1.2444,                0.57831,                0.70329,                0.68471,                0.46737,                 1.1801,                 1.1098,                 1.3276,              0.0011917,              0.0011917,              0.0011917
                     19,                 1.0842,                0.92573,                 1.2367,                0.66691,                0.68294,                0.70142,                0.48748,                 1.1422,                  1.037,                 1.3062,              0.0011906,              0.0011906,              0.0011906
                     20,                 1.0742,                0.87538,                 1.2361,                 0.6302,                0.70514,                0.70699,                 0.4849,                 1.1791,                  1.027,                 1.3249,              0.0011895,              0.0011895,              0.0011895
                     21,                 1.0391,                0.85301,                 1.2198,                0.66515,                0.70052,                0.72084,                0.50119,                 1.1631,                 1.0461,                 1.3165,              0.0011883,              0.0011883,              0.0011883
                     22,                 1.0456,                0.84352,                 1.2154,                0.66533,                 0.6869,                0.70531,                0.46123,                 1.2977,                 1.0635,                 1.3941,               0.001187,               0.001187,               0.001187
                     23,                 1.0388,                0.83559,                 1.2083,                0.65767,                0.71187,                0.71674,                0.48317,                 1.2237,                 1.0246,                 1.3518,              0.0011857,              0.0011857,              0.0011857
                     24,                 1.0292,                0.80748,                 1.2098,                0.68428,                  0.696,                0.72158,                0.49016,                 1.2365,                 1.0017,                 1.3669,              0.0011843,              0.0011843,              0.0011843
                     25,                 1.0272,                0.78169,                 1.2121,                0.64937,                0.68534,                0.70428,                0.48991,                 1.1758,                  1.068,                 1.3293,              0.0011829,              0.0011829,              0.0011829
                     26,                 1.0194,                0.78982,                 1.1929,                0.68234,                0.69152,                0.72735,                0.50327,                 1.1746,                0.99118,                 1.3328,              0.0011813,              0.0011813,              0.0011813
                     27,                 1.0062,                0.77242,                 1.1991,                0.66178,                0.72081,                 0.7329,                0.50501,                 1.1643,                0.96305,                 1.3292,              0.0011798,              0.0011798,              0.0011798
                     28,                0.99474,                 0.7476,                 1.1779,                0.61176,                0.73995,                0.72325,                0.49085,                 1.2417,                 1.0114,                 1.3626,              0.0011781,              0.0011781,              0.0011781
                     29,                 0.9737,                0.75743,                 1.1741,                0.64706,                0.73229,                0.72993,                0.49654,                 1.1985,                0.99015,                 1.3394,              0.0011764,              0.0011764,              0.0011764
                     30,                0.97136,                0.72077,                 1.1612,                0.66261,                0.72166,                0.73358,                0.49947,                 1.1882,                0.97453,                 1.3414,              0.0011746,              0.0011746,              0.0011746
                     31,                0.98004,                0.70772,                 1.1763,                0.62497,                0.73023,                0.72068,                0.49297,                 1.1882,                 0.9933,                 1.3472,              0.0011728,              0.0011728,              0.0011728
                     32,                0.98627,                0.72855,                 1.1717,                0.66755,                 0.7018,                  0.728,                0.50155,                 1.1645,                 0.9705,                  1.333,              0.0011709,              0.0011709,              0.0011709
                     33,                0.96359,                0.69206,                 1.1575,                0.63315,                 0.7479,                0.73618,                0.50823,                 1.1773,                 0.9753,                 1.3342,               0.001169,               0.001169,               0.001169
                     34,                0.93758,                0.67069,                 1.1478,                0.67024,                0.72378,                0.72785,                0.49941,                 1.2141,                0.98334,                 1.3565,               0.001167,               0.001167,               0.001167
                     35,                0.94348,                0.66456,                 1.1538,                0.67389,                0.72238,                0.72974,                0.49669,                 1.2041,                0.96895,                 1.3562,              0.0011649,              0.0011649,              0.0011649
                     36,                 0.9136,                0.63418,                 1.1268,                0.72804,                0.67445,                0.72159,                 0.4893,                 1.2276,                0.93271,                 1.3756,              0.0011627,              0.0011627,              0.0011627
                     37,                 0.9059,                0.62441,                 1.1229,                0.68947,                   0.71,                0.72875,                0.48638,                 1.2588,                0.95948,                 1.3936,              0.0011605,              0.0011605,              0.0011605
                     38,                0.89896,                0.61918,                 1.1195,                0.69106,                0.69169,                0.71459,                0.49605,                 1.1758,                0.97659,                 1.3464,              0.0011583,              0.0011583,              0.0011583
                     39,                0.90371,                0.64165,                 1.1227,                0.68986,                0.70776,                0.73258,                0.50028,                 1.1822,                0.95982,                 1.3516,               0.001156,               0.001156,               0.001156
                     40,                0.88922,                0.61541,                 1.1081,                0.70139,                0.72358,                0.73327,                0.49684,                 1.2062,                0.94824,                  1.367,              0.0011536,              0.0011536,              0.0011536
                     41,                0.88802,                0.61425,                 1.1137,                0.71079,                0.71308,                0.73987,                0.50602,                 1.1881,                0.94389,                 1.3613,              0.0011511,              0.0011511,              0.0011511
                     42,                0.90291,                0.62812,                 1.1152,                0.71931,                 0.7131,                0.74317,                0.50457,                  1.222,                0.94562,                 1.3917,              0.0011486,              0.0011486,              0.0011486
                     43,                0.87149,                0.60493,                 1.1101,                0.72307,                0.72022,                0.74717,                0.50669,                 1.2354,                0.95408,                  1.388,              0.0011461,              0.0011461,              0.0011461
                     44,                0.86696,                 0.5902,                 1.1035,                0.72532,                0.70858,                 0.7472,                0.51296,                 1.2037,                0.94462,                 1.3724,              0.0011435,              0.0011435,              0.0011435
                     45,                 0.8774,                 0.5986,                 1.1183,                0.71425,                 0.7187,                0.74287,                0.50565,                 1.2039,                0.94457,                  1.374,              0.0011408,              0.0011408,              0.0011408
                     46,                 0.8622,                0.58531,                 1.1021,                0.70646,                0.71936,                0.74545,                0.50073,                 1.2572,                0.94817,                 1.4063,              0.0011381,              0.0011381,              0.0011381
                     47,                 0.8579,                0.57597,                 1.0862,                0.68955,                0.73166,                0.74513,                0.51289,                 1.1942,                0.93832,                 1.3668,              0.0011353,              0.0011353,              0.0011353
                     48,                0.84389,                0.55785,                  1.083,                0.70905,                0.70576,                 0.7422,                0.50901,                 1.1929,                 0.9269,                 1.3797,              0.0011324,              0.0011324,              0.0011324
                     49,                 0.8271,                0.54273,                 1.0765,                0.70713,                0.71881,                0.74246,                0.50364,                 1.2138,                0.90914,                 1.3871,              0.0011295,              0.0011295,              0.0011295
                     50,                0.82394,                0.53904,                 1.0748,                0.68369,                0.72107,                0.73606,                0.49854,                 1.2106,                0.93831,                 1.3864,              0.0011265,              0.0011265,              0.0011265
                     51,                0.81688,                0.53966,                 1.0667,                0.64819,                0.74442,                0.74061,                0.49562,                 1.2446,                0.91891,                 1.4065,              0.0011235,              0.0011235,              0.0011235
